occ2_tgt3_hid0_seed89_stack_uc0_semantic | goal=stack seed=89 | placed green_object@free_001 line=130 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed0_find-and-tray-stack_uc0_semantic_mbs0.135 | goal=find-and-tray-stack seed=1654615998 | placed red_object@free_009 line=224 -> reblocks ['shadow_of_green_object', 'shadow_of_red_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed0_find-and-tray-stack_uc0_semantic_mbs0.18 | goal=find-and-tray-stack seed=1654615998 | placed red_object@free_009 line=224 -> reblocks ['shadow_of_green_object', 'shadow_of_red_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed0_find-and-tray-stack_uc0_uniform | goal=find-and-tray-stack seed=1654615998 | placed red_object@free_130 line=218 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed0_holding_uc0_semantic_mbs0.05 | goal=holding seed=0 | placed red_object@free_003 line=134 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: Belief said target was found but physics check disagreed (see PHYSICAL_FAILURE above) — audit S-18
randpairs_occ2_seed0_holding_uc0_semantic_mbs0.1 | goal=holding seed=0 | placed red_object@free_003 line=132 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: 0 shadow(s) observed empty, 1 blocked-unresolved (target may still be there): ['shadow_of_green_object'] — see audit #21 (real fix #47 deferred 2026-05-06)
randpairs_occ2_seed0_holding_uc0_semantic_mbs0.135 | goal=holding seed=0 | placed green_object@free_001 line=4505 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed0_holding_uc0_semantic_mbs0.18 | goal=holding seed=0 | placed red_object@free_005 line=276 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed0_holding_uc0_uniform | goal=holding seed=0 | placed green_object@free_256 line=291 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed15_find-and-tray-stack_uc0_semantic_mbs0.05 | goal=find-and-tray-stack seed=15 | placed green_object@free_026 line=323 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (1 unsearched shadows remaining)
randpairs_occ2_seed15_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=15 | placed green_object@free_007 line=398 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (1 unsearched shadows remaining)
randpairs_occ2_seed15_holding_uc0_semantic_mbs0.01 | goal=holding seed=15 | placed green_object@free_004 line=624 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (1 unsearched shadows remaining)
randpairs_occ2_seed15_holding_uc0_semantic_mbs0.1 | goal=holding seed=15 | placed green_object@free_004 line=233 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (1 unsearched shadows remaining)
randpairs_occ2_seed15_holding_uc0_semantic_mbs0.135 | goal=holding seed=15 | placed green_object@free_004 line=390 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (1 unsearched shadows remaining)
randpairs_occ2_seed16_find-and-tray-stack_uc0_semantic | goal=find-and-tray-stack seed=16 | placed red_object@free_002 line=229 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_find-and-tray-stack_uc0_semantic_mbs0.01 | goal=find-and-tray-stack seed=16 | placed green_object@free_002 line=238 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_find-and-tray-stack_uc0_semantic_mbs0.01 | goal=find-and-tray-stack seed=16 | placed orange_object@free_090 line=397 -> reblocks ['shadow_136'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_find-and-tray-stack_uc0_semantic_mbs0.01 | goal=find-and-tray-stack seed=16 | placed red_object@free_101 line=488 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_find-and-tray-stack_uc0_semantic_mbs0.05 | goal=find-and-tray-stack seed=16 | placed red_object@free_009 line=226 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=16 | placed green_object@free_015 line=224 -> reblocks ['shadow_of_green_object', 'shadow_of_red_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_find-and-tray-stack_uc0_semantic_mbs0.135 | goal=find-and-tray-stack seed=16 | placed green_object@free_002 line=224 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_find-and-tray-stack_uc0_semantic_mbs0.135 | goal=find-and-tray-stack seed=16 | placed red_object@free_001 line=367 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_find-and-tray-stack_uc0_semantic_mbs0.18 | goal=find-and-tray-stack seed=16 | placed red_object@free_002 line=223 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_find-and-tray-stack_uc0_uniform | goal=find-and-tray-stack seed=16 | placed red_object@free_332 line=364 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic | goal=holding seed=16 | placed green_object@free_001 line=134 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic | goal=holding seed=16 | placed orange_object@free_022 line=218 -> reblocks ['shadow_012'] (target true hiding place=False, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic | goal=holding seed=16 | placed red_object@free_035 line=324 -> reblocks ['shadow_of_red_object'] (target true hiding place=True, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic_mbs0.01 | goal=holding seed=16 | placed green_object@free_001 line=138 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic_mbs0.01 | goal=holding seed=16 | placed orange_object@free_055 line=228 -> reblocks ['shadow_043'] (target true hiding place=False, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic_mbs0.01 | goal=holding seed=16 | placed red_object@free_099 line=315 -> reblocks ['shadow_of_red_object'] (target true hiding place=True, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic_mbs0.05 | goal=holding seed=16 | placed green_object@free_001 line=135 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic_mbs0.05 | goal=holding seed=16 | placed red_object@free_023 line=222 -> reblocks ['shadow_of_red_object'] (target true hiding place=True, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic_mbs0.1 | goal=holding seed=16 | placed green_object@free_006 line=131 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic_mbs0.1 | goal=holding seed=16 | placed orange_object@free_013 line=214 -> reblocks ['shadow_007'] (target true hiding place=False, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic_mbs0.1 | goal=holding seed=16 | placed red_object@free_001 line=295 -> reblocks ['shadow_of_red_object'] (target true hiding place=True, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic_mbs0.135 | goal=holding seed=16 | placed green_object@free_002 line=131 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic_mbs0.135 | goal=holding seed=16 | placed orange_object@free_013 line=215 -> reblocks ['shadow_007'] (target true hiding place=False, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic_mbs0.135 | goal=holding seed=16 | placed red_object@free_001 line=295 -> reblocks ['shadow_of_red_object'] (target true hiding place=True, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic_mbs0.18 | goal=holding seed=16 | placed green_object@free_006 line=131 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic_mbs0.18 | goal=holding seed=16 | placed orange_object@free_001 line=217 -> reblocks ['shadow_007'] (target true hiding place=False, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_semantic_mbs0.18 | goal=holding seed=16 | placed red_object@free_009 line=299 -> reblocks ['shadow_of_red_object'] (target true hiding place=True, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed16_holding_uc0_uniform | goal=holding seed=16 | placed red_object@free_015 line=201 -> reblocks ['shadow_of_red_object'] (target true hiding place=True, oracle_shadow=shadow_of_red_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=19 | placed red_object@free_010 line=218 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=19 | placed blue_object@free_007 line=303 -> reblocks ['shadow_021'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=19 | placed green_object@free_012 line=386 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_find-and-tray-stack_uc0_semantic_mbs0.135 | goal=find-and-tray-stack seed=19 | placed red_object@free_010 line=218 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_find-and-tray-stack_uc0_semantic_mbs0.135 | goal=find-and-tray-stack seed=19 | placed blue_object@free_007 line=303 -> reblocks ['shadow_021'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_find-and-tray-stack_uc0_semantic_mbs0.135 | goal=find-and-tray-stack seed=19 | placed green_object@free_012 line=386 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_find-and-tray-stack_uc0_uniform | goal=find-and-tray-stack seed=19 | placed green_object@free_134 line=208 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_holding_uc0_semantic | goal=holding seed=19 | placed red_object@free_006 line=132 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_holding_uc0_semantic | goal=holding seed=19 | placed blue_object@free_014 line=217 -> reblocks ['shadow_017'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_holding_uc0_semantic | goal=holding seed=19 | placed green_object@free_005 line=12203 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_holding_uc0_semantic_mbs0.01 | goal=holding seed=19 | placed red_object@free_009 line=310 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_holding_uc0_semantic_mbs0.01 | goal=holding seed=19 | placed blue_object@free_056 line=4201 -> reblocks ['shadow_047'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_holding_uc0_semantic_mbs0.01 | goal=holding seed=19 | placed green_object@free_151 line=4449 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_holding_uc0_semantic_mbs0.05 | goal=holding seed=19 | placed red_object@free_001 line=134 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: Belief said target was found but physics check disagreed (see PHYSICAL_FAILURE above) — audit S-18
randpairs_occ2_seed19_holding_uc0_semantic_mbs0.135 | goal=holding seed=19 | placed red_object@free_006 line=131 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_holding_uc0_semantic_mbs0.135 | goal=holding seed=19 | placed blue_object@free_007 line=214 -> reblocks ['shadow_010'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_holding_uc0_semantic_mbs0.135 | goal=holding seed=19 | placed green_object@free_001 line=3134 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed19_holding_uc0_uniform | goal=holding seed=19 | placed red_object@free_236 line=129 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (1 unsearched shadows remaining)
randpairs_occ2_seed19_holding_uc0_uniform | goal=holding seed=19 | placed blue_object@free_141 line=308 -> reblocks ['shadow_306'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: Planner returned no plan (1 unsearched shadows remaining)
randpairs_occ2_seed20_find-and-tray-stack_uc0_semantic | goal=find-and-tray-stack seed=20 | placed red_object@free_040 line=296 -> reblocks ['shadow_of_red_object__00', 'shadow_of_red_object__01', 'shadow_of_red_object__02', 'shadow_of_red_object__03', 'shadow_of_red_object__04'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed20_find-and-tray-stack_uc0_semantic | goal=find-and-tray-stack seed=20 | placed red_object@free_035 line=326 -> reblocks ['shadow_of_red_object__00', 'shadow_of_red_object__01', 'shadow_of_red_object__02', 'shadow_of_red_object__03', 'shadow_of_red_object__04'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed20_find-and-tray-stack_uc0_semantic_mbs0.01 | goal=find-and-tray-stack seed=20 | placed red_object@free_090 line=249 -> reblocks ['shadow_of_red_object__00', 'shadow_of_red_object__01', 'shadow_of_red_object__02', 'shadow_of_red_object__03', 'shadow_of_red_object__04'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed20_find-and-tray-stack_uc0_semantic_mbs0.05 | goal=find-and-tray-stack seed=20 | placed red_object@free_035 line=380 -> reblocks ['shadow_of_red_object__00', 'shadow_of_red_object__01', 'shadow_of_red_object__02', 'shadow_of_red_object__03', 'shadow_of_red_object__04'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed20_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=20 | placed green_object@free_005 line=459 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed20_find-and-tray-stack_uc0_semantic_mbs0.1 | goal=find-and-tray-stack seed=20 | placed red_object@free_020 line=636 -> reblocks ['shadow_of_red_object__00', 'shadow_of_red_object__01', 'shadow_of_red_object__02', 'shadow_of_red_object__03', 'shadow_of_red_object__04'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed20_find-and-tray-stack_uc0_semantic_mbs0.135 | goal=find-and-tray-stack seed=20 | placed green_object@free_011 line=445 -> reblocks ['shadow_of_green_object'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=2 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed20_find-and-tray-stack_uc0_semantic_mbs0.135 | goal=find-and-tray-stack seed=20 | placed orange_object@free_025 line=614 -> reblocks ['shadow_019'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed20_find-and-tray-stack_uc0_semantic_mbs0.135 | goal=find-and-tray-stack seed=20 | placed red_object@free_029 line=704 -> reblocks ['shadow_of_red_object__00', 'shadow_of_red_object__01', 'shadow_of_red_object__02', 'shadow_of_red_object__03', 'shadow_of_red_object__04'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed20_find-and-tray-stack_uc0_semantic_mbs0.18 | goal=find-and-tray-stack seed=20 | placed red_object@free_016 line=232 -> reblocks ['shadow_of_red_object__00', 'shadow_of_red_object__01', 'shadow_of_red_object__02', 'shadow_of_red_object__03', 'shadow_of_red_object__04'] (target true hiding place=False, oracle_shadow=None) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed20_holding_uc0_semantic | goal=holding seed=20 | placed red_object@free_001 line=281 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=1 episode_ended_by_this=True final_outcome=FAILED: 0 shadow(s) observed empty, 1 blocked-unresolved (target may still be there): ['shadow_of_green_object'] — see audit #21 (real fix #47 deferred 2026-05-06)
randpairs_occ2_seed20_holding_uc0_semantic | goal=holding seed=20 | placed blue_object@free_037 line=606 -> reblocks ['shadow_027'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: 0 shadow(s) observed empty, 1 blocked-unresolved (target may still be there): ['shadow_of_green_object'] — see audit #21 (real fix #47 deferred 2026-05-06)
randpairs_occ2_seed20_holding_uc0_semantic_mbs0.01 | goal=holding seed=20 | placed green_object@free_004 line=620 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed20_holding_uc0_semantic_mbs0.05 | goal=holding seed=20 | placed green_object@free_004 line=133 -> reblocks ['shadow_of_green_object'] (target true hiding place=True, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=False final_outcome=SUCCESS
randpairs_occ2_seed20_holding_uc0_semantic_mbs0.1 | goal=holding seed=20 | placed red_object@free_010 line=204 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: Belief said target was found but physics check disagreed (see PHYSICAL_FAILURE above) — audit S-18
randpairs_occ2_seed20_holding_uc0_semantic_mbs0.135 | goal=holding seed=20 | placed red_object@free_010 line=133 -> reblocks ['shadow_of_red_object'] (target true hiding place=False, oracle_shadow=shadow_of_green_object) | plan_restarts_after=0 placements_after=0 episode_ended_by_this=True final_outcome=FAILED: Belief said target was found but physics check disagreed (see PHYSICAL_FAILURE above) — audit S-18
